모델명,제조(수입사),차종,유형,복합_연비,1회충전주행거리,도심_연비,고속도로_연비,등급
봉고 1톤 2.5T-LPDi 4X4 장축 6MT 더블캡,기아,화물차,일반형,6.3,,6.2,6.4,5등급
Flying Spur S,벤틀리,승용차,일반형,6.6,,5.5,8.7,5등급
Flying Spur S,벤틀리,승용차,일반형,6.6,,5.5,8.7,5등급
Flying Spur V8,벤틀리,승용차,일반형,6.6,,5.5,8.7,5등급
"카니발(KA4 PE) 3.5GDI 9인 18""(nC)",기아,승용차,기타형,9,,7.8,10.9,5등급
"카니발(KA4 PE) 3.5GDI 9인 18""(C)",기아,승용차,기타형,8.9,,7.7,10.9,5등급
"카니발(KA4 PE) 3.5GDI 7인 19""(nC)",기아,승용차,기타형,9,,7.8,10.9,5등급
Continental GT V8,벤틀리,승용차,일반형,7.4,,6.4,9,5등급
"카니발(KA4 PE) 3.5GDI 7인 19""(C)",기아,승용차,기타형,8.9,,7.7,10.9,5등급
마세라티 그란투리스모 모데나,마세라티,승용차,일반형,8.4,,7.2,10.6,5등급
마세라티 그란투리스모 트로페오,마세라티,승용차,일반형,8.4,,7.2,10.5,5등급
페라리 Roma Spider,페라리,승용차,일반형,8,,7,9.6,5등급
Mustang GT 5.0L Convertible,포드,승용차,일반형,7.2,,6.1,9.2,5등급
"카니발(KA4 PE) 3.5GDI 하이리무진 7인 19""",기아,승용차,기타형,8.7,,7.6,10.4,5등급
Flying Spur V8,벤틀리,승용차,일반형,6.6,,5.5,8.7,5등급
"카니발(KA4 PE) 3.5GDI 하이리무진 9인 18/19""",기아,승용차,기타형,8.7,,7.6,10.4,5등급
"카니발(KA4 PE) 3.5GDI 하이리무진 4인 19""",기아,승용차,기타형,8.5,,7.4,10.2,5등급
"카니발(KA4 PE) 3.5GDI 9인 19""(C)",기아,승용차,기타형,8.9,,7.7,10.9,5등급
"카니발(KA4 PE) 3.5GDI 9인 19""(nC)",기아,승용차,기타형,9,,7.8,10.9,5등급
볼보 XC90B6 AWD,볼보,승용차,다목적형,9.1,,8.1,10.9,5등급
레인지로버 벨라 P400,랜드로버,승용차,다목적형,8.9,,8,10.4,5등급
Lincoln Nautilus 2.0L,포드,승용차,다목적형,9,,7.9,10.9,5등급
"Mercedes-Benz GLS 580 4MATIC	",벤츠,승용차,다목적형,6,,5.5,6.8,5등급
"Mercedes-Maybach GLS 600 	",벤츠,승용차,다목적형,6.1,,5.4,7.3,5등급
Atlas TSI,폭스바겐,승용차,다목적형,8.6,,7.6,10.1,5등급
"Mercedes-Maybach GLS 600 	",벤츠,승용차,다목적형,6.1,,5.4,7.3,5등급
"Mercedes-Benz GLS 580 4MATIC	",벤츠,승용차,다목적형,6,,5.5,6.8,5등급
Atlas TSI,폭스바겐,승용차,다목적형,8.6,,7.6,10.1,5등급
Mustang GT 5.0L Coupe,포드,승용차,일반형,7.2,,6.1,9.2,5등급
"GV80 개조 3.5T AWD 20"" 5인 빌트인캠 장착",현대,승용차,다목적형,7.7,,6.8,9.2,5등급
"GV80 개조 3.5T AWD 20"" 6/7인",현대,승용차,다목적형,7.7,,6.8,9.2,5등급
GV80 개조 3.5T AWD 쿠페,현대,승용차,다목적형,7.8,,6.8,9.3,5등급
"GV80 개조 3.5T AWD 22""",현대,승용차,다목적형,7.7,,6.8,9.2,5등급
"GV80 개조 3.5T AWD 20"" 5인 빌트인캠 미장착",현대,승용차,다목적형,7.9,,6.8,9.7,5등급
"GV80 개조 3.5T 2WD 22""",현대,승용차,다목적형,8.2,,7.3,9.7,5등급
"GV80 개조 3.5T 2WD 20"" 6/7인",현대,승용차,다목적형,8.2,,7.3,9.5,5등급
"GV80 개조 3.5T 2WD 20"" 5인 빌트인캠 장착",현대,승용차,다목적형,8.4,,7.4,9.9,5등급
"GV80 개조 3.5T 2WD 20"" 5인 빌트인캠 미장착",현대,승용차,다목적형,8.6,,7.7,10,5등급
GV80 개조 2.5T AWD 쿠페,현대,승용차,다목적형,8.2,,7.3,9.5,5등급
"GV80 개조 2.5T 2WD 19"" 빌트인캠 장착",현대,승용차,다목적형,9.1,,8,10.8,5등급
"GV80 개조 2.5T 2WD 19"" 빌트인캠 미장착",현대,승용차,다목적형,9.3,,8.2,11,5등급
"GV80 개조 2.5T 2WD 20""/22""",현대,승용차,다목적형,8.9,,7.9,10.5,5등급
"GV80 개조 2.5T AWD 20""/22""",현대,승용차,다목적형,8.3,,7.4,9.7,5등급
"GV80 개조 2.5T AWD 19"" 6/7인",현대,승용차,다목적형,8.5,,7.5,10,5등급
"GV80 개조 2.5T AWD 19"" 5인 빌트인캠 장착",현대,승용차,다목적형,8.7,,7.6,10.5,5등급
"GV80 개조 2.5T AWD 19"" 5인 빌트인캠 미장착",현대,승용차,다목적형,8.9,,7.8,10.6,5등급
"Mercedes-AMG SL 63 4MATIC + 	",벤츠,승용차,일반형,6.5,,5.5,8.4,5등급
Rolls Royce Spectre,롤스로이스,승용차,일반형,3.2,383,3.1,3.4,5등급
Rolls Royce Black Badge Spectre,롤스로이스,승용차,일반형,3.2,380,3,3.3,5등급
RS 5 Sportback Competition,아우디,승용차,일반형,8.7,,7.4,11.1,5등급
BMW i7 M70 xDrive,BMW,승용차,일반형,3.3,391,3.2,3.4,5등급
Mercedes-AMG EQS 53 4MATIC +,벤츠,승용차,일반형,3.2,406,3.2,3.3,5등급
Mercedes-AMG CLA 45 S 4MATIC +,벤츠,승용차,일반형,9.2,,8,11.2,5등급
Mercedes-AMG A 45 S 4MATIC +,벤츠,승용차,일반형,8.9,,7.9,10.4,5등급
Mercedes-Maybach S 680 (5 seater),벤츠,승용차,일반형,6,,4.9,8.2,5등급
짚 랭글러 스포츠,크라이슬러,승용차,다목적형,8.2,,7.5,9.1,5등급
짚 랭글러 사하라,크라이슬러,승용차,다목적형,8,,7.4,9.1,5등급
짚 랭글러 루비콘,크라이슬러,승용차,다목적형,7.5,,7.1,8.1,5등급
짚 랭글러 루비콘,크라이슬러,승용차,다목적형,7.6,,7.2,8.1,5등급
레인지로버 벨라 P400,랜드로버,승용차,다목적형,8.9,,8,10.4,5등급
Mercedes-Maybach S 680,벤츠,승용차,일반형,6,,4.9,8.2,5등급
Mercedes-Maybach S 580(5seater),벤츠,승용차,일반형,8,,6.8,10.1,5등급
Mercedes-Maybach S 580,벤츠,승용차,일반형,8,,6.8,10.1,5등급
"Mercedes-Benz S 580 4MATIC	",벤츠,승용차,일반형,8,,6.9,10,5등급
쏘렌토(PE) 2.5T-GDI 4WD 5인 20인치,기아,승용차,다목적형,9.3,,8.3,10.8,5등급
쏘렌토(PE) 2.5T-GDI 4WD 6인 20인치,기아,승용차,다목적형,9.3,,8.3,10.8,5등급
쏘렌토(PE) 2.5T-GDI 4WD 7인 20인치,기아,승용차,다목적형,9.3,,8.3,10.8,5등급
"Mercedes-Benz S 500 4MATIC 	",벤츠,승용차,일반형,9.1,,8,10.9,5등급
GMC Sierra ,한국지엠,화물차,일반형,6.6,,5.9,7.8,5등급
GV70 2.5T-GDI AWD 21인치(24MY),현대,승용차,다목적형,9.2,,8.2,10.7,5등급
GV70 2.5T-GDI AWD 21인치 (스포츠패키지)(24MY),현대,승용차,다목적형,9.2,,8.2,10.7,5등급
GV70 3.5T-GDI AWD 21인치[썸머](스포츠패키지)(24MY),현대,승용차,다목적형,8.2,,7.2,9.7,5등급
GV70 3.5T-GDI AWD 21인치(24MY),현대,승용차,다목적형,8.3,,7.3,9.9,5등급
GV70 3.5T-GDI AWD 21인치 (스포츠패키지)(24MY),현대,승용차,다목적형,8.3,,7.3,9.9,5등급
GV70 3.5T-GDI AWD 19인치(빌트인캠)(24MY),현대,승용차,다목적형,8.5,,7.4,10.2,5등급
GV70 3.5T-GDI AWD 19인치(24MY),현대,승용차,다목적형,8.6,,7.5,10.3,5등급
한국쓰리축1톤롱바디EV트럭(포터),주식회사 한국쓰리축,화물차,일반형,2.8,185,3.2,2.4,5등급
SQ8 Sportback e-tron,아우디,승용차,다목적형,2.6,303,2.5,2.6,5등급
스포티지 2.0 LPI 19인치_24MY,기아,승용차,다목적형,9,,8.1,10.2,5등급
스포티지 2.0 LPI 19인치 (빌트인캠) _24MY,기아,승용차,다목적형,8.8,,8,9.9,5등급
스포티지 2.0 LPI 18인치_24MY,기아,승용차,다목적형,9.1,,8.2,10.3,5등급
스포티지 2.0 LPI 18인치 (빌트인캠) _24MY,기아,승용차,다목적형,8.9,,8.1,10,5등급
스포티지 2.0 LPI 17인치_24MY,기아,승용차,다목적형,9.2,,8.2,10.6,5등급
짚 글래디에이터,크라이슬러,화물차,화물,6.2,,5.7,7,5등급
팰리세이드(PE) 3.8GDI 2WD 7인 20인치(24MY),현대,승용차,다목적형,9,,8,10.7,5등급
팰리세이드(PE) 3.8GDI 2WD 8인 20인치(24MY),현대,승용차,다목적형,9,,8,10.7,5등급
팰리세이드(PE) 3.8GDI AWD 7인 20인치(24MY),현대,승용차,다목적형,8.5,,7.6,10,5등급
팰리세이드(PE) 3.8GDI AWD 8인 20인치(24MY),현대,승용차,다목적형,8.5,,7.6,10,5등급
Mercedes-AMG GLE 53 4MATIC +(5seater),벤츠,승용차,다목적형,8,,7.3,9.2,5등급
RS 3,아우디,승용차,일반형,9.2,,8,11.2,5등급
Mercedes-AMG GLE 53 4MATIC +,벤츠,승용차,다목적형,8,,7.3,9.2,5등급
Mercedes-Benz GLE 450 4MATIC(5seater),벤츠,승용차,다목적형,8.5,,7.7,9.7,5등급
BMW X5 xDrive40i,BMW,승용차,다목적형,9.2,,8.7,10,5등급
Mercedes-AMG GLE 53 4MATIC + Coupe,벤츠,승용차,다목적형,8,,7.3,9.2,5등급
Mercedes-Benz GLE 450 4MATIC ,벤츠,승용차,다목적형,8.5,,7.7,9.7,5등급
한국쓰리축1톤롱바디EV트럭(봉고),주식회사 한국쓰리축,화물차,일반형,2.8,183,3.3,2.4,5등급
BMW X6 M Competition,BMW,승용차,다목적형,7,,6.2,8.4,5등급
BMW X5 M Competition,BMW,승용차,다목적형,6.9,,6.1,8.2,5등급
BMW X6 M60i xDrive,BMW,승용차,다목적형,7.8,,7,9.1,5등급
BMW X5 M60i xDrive,BMW,승용차,다목적형,7.5,,6.7,8.7,5등급
BMW X5 xDrive40i,BMW,승용차,다목적형,9.2,,8.7,10,5등급
G70(IK PE2) 3.3T-GDI AWD 19인치(썸머),현대,승용차,일반형,8.4,,7.5,10,5등급
G70(IK PE2) 3.3T-GDI AWD 19인치(올시즌),현대,승용차,일반형,8.8,,7.8,10.6,5등급
G70(IK PE2) 3.3T-GDI 2WD 19인치(썸머),현대,승용차,일반형,9.1,,8.1,10.7,5등급
G70(IK PE2) 3.3T-GDI AWD 19인치(썸머)_SP,현대,승용차,일반형,8.4,,7.5,10,5등급
G70(IK PE2) 3.3T-GDI AWD 19인치(올시즌)_SP,현대,승용차,일반형,8.8,,7.8,10.6,5등급
G70(IK PE2) 3.3T-GDI 2WD 19인치(썸머)_SP,현대,승용차,일반형,9.1,,8.1,10.7,5등급
Lincoln Corsair 2.0L,포드,승용차,다목적형,9,,7.8,11.1,5등급
RS 7 performance,아우디,승용차,일반형,7.3,,6.3,9.2,5등급
RS 6 Avant performance,아우디,승용차,일반형,7.1,,6.1,9,5등급
CHEVROLET COLORADO RWD (MY23),GM,화물차,일반형,8.9,,8,10.3,5등급
CHEVROLET COLORADO AWD (MY23),GM,화물차,일반형,8.1,,7.5,9.1,5등급
카이엔 터보 GT,포르쉐,승용차,다목적형,6.5,,5.6,8,5등급
Mercedes-AMG SL63 4MATIC +,벤츠,승용차,일반형,6.3,,5.3,8.3,5등급
Mercedes-AMG G63,벤츠,승용차,다목적형,5.6,,5,6.5,5등급
PILOT,혼다,승용차,다목적형,8.4,,7.4,10,5등급
카이엔,포르쉐,승용차,다목적형,7.5,,6.7,8.7,5등급
카이엔 COUPE,포르쉐,승용차,다목적형,7.5,,6.7,8.7,5등급
Flying Spur S,벤틀리,승용차,일반형,7.1,,6.2,8.7,5등급
Flying Spur V8,벤틀리,승용차,일반형,7.1,,6.2,8.7,5등급
Flying Spur S,벤틀리,승용차,일반형,7.1,,6.2,8.7,5등급
Ranger Raptor,포드,화물차,화물,9,,8.5,9.8,5등급
Flying Spur V8,벤틀리,승용차,일반형,7.1,,6.2,8.7,5등급
QM6,르노코리아자동차(주),화물차,밴형,8.7,,7.9,9.9,5등급
카이엔 COUPE (5인승),포르쉐,승용차,다목적형,7.5,,6.7,8.7,5등급
디스커버리 P300,랜드로버,승용차,다목적형,8,,7.3,9.2,5등급
디펜더 110 P300,랜드로버,승용차,다목적형,8,,7.3,9.2,5등급
디펜더 110 P300,랜드로버,승용차,다목적형,8,,7.3,9.2,5등급
테라밴키즈11,DongfengLiuzhou Motor,승합차,밴형,3.3,264,3.8,2.9,5등급
테라밴,DongfengLiuzhou Motor,승합차,밴형,3.3,264,3.8,2.9,5등급
SQ5 Sportback TFSI,아우디,승용차,다목적형,8.9,,8,10.3,5등급
SQ5 TFSI,아우디,승용차,다목적형,8.8,,7.9,10.1,5등급
테라밴키즈,DongfengLiuzhou Motor,승합차,밴형,3.3,264,3.8,2.9,5등급
디펜더 130 P400,랜드로버,승용차,다목적형,7.2,,6.6,8.2,5등급
BMW M2,BMW,승용차,일반형,8.5,,7.4,10.1,5등급
이엔1톤롱바디카고,(주)이엔플러스,화물차,일반형,2.8,186,3.3,2.4,5등급
이엔플러스EV1톤롱바디트럭,(주)이엔플러스,화물차,일반형,3,194,3.5,2.5,5등급
짚 그랜드 체로키,크라이슬러,승용차,다목적형,7.4,,6.6,8.8,5등급
짚 그랜드 체로키,크라이슬러,승용차,다목적형,7.4,,6.6,8.8,5등급
Q8 Sportback 55 e-tron quattro,아우디,승용차,다목적형,2.9,351,2.9,3,5등급
Continental GT S,벤틀리,승용차,일반형,8,,7,9.6,5등급
BMW M3 Competition Touring M xDrive,BMW,승용차,일반형,8.1,,7,9.9,5등급
Mercedes-Benz GLS580 4MATIC(6 Seater),벤츠,승용차,다목적형,6.6,,6,7.5,5등급
Continental GT V8,벤틀리,승용차,일반형,8,,7,9.6,5등급
Mercedes-Maybach S680 4MATIC(5 Seats),벤츠,승용차,일반형,5.8,,4.7,7.9,5등급
Mercedes-Benz GLS580 4MATIC,벤츠,승용차,다목적형,6.6,,6,7.5,5등급
G90 e-S/C 3.5T-GDI(LONGWHEELBASE)AWD5인20인치(HDP),현대,승용차,일반형,8.1,,7,9.9,5등급
G90 e-S/C 3.5T-GDI 2WD 5인 20인치(HDP),현대,승용차,일반형,8.8,,7.6,10.8,5등급
G90 e-S/C 3.5T-GDI 2WD 5인 21인치(HDP),현대,승용차,일반형,8.5,,7.3,10.4,5등급
G90 e-S/C 3.5T-GDI AWD 5인 20인치(HDP),현대,승용차,일반형,8.2,,7.1,10,5등급
G90 e-S/C 3.5T-GDI AWD 4인 20인치(HDP),현대,승용차,일반형,8.2,,7.1,10,5등급
G90 e-S/C 3.5T-GDI AWD 5인 21인치(HDP),현대,승용차,일반형,8.2,,7.1,10,5등급
G90 3.5T-GDI 2WD 4인 19인치(HDP),현대,승용차,일반형,8.8,,7.7,10.6,5등급
G90 3.5T-GDI 2WD 5인 20인치(HDP),현대,승용차,일반형,8.8,,7.7,10.6,5등급
G90 3.5T-GDI AWD 5인 19인치(HDP),현대,승용차,일반형,8,,7,9.7,5등급
G90 3.5T-GDI AWD 4인 19인치(HDP),현대,승용차,일반형,8,,7,9.7,5등급
G90 3.5T-GDI AWD 5인 20인치(HDP),현대,승용차,일반형,8,,7,9.7,5등급
Mercedes-Maybach GLS600 4MATIC(5 Seater),벤츠,승용차,다목적형,6.1,,5.3,7.4,5등급
G90 e-S/C 3.5T-GDI(LONGWHEELBASE)AWD4인20인치(HDP),현대,승용차,일반형,8.1,,7,9.9,5등급
G90 e-S/C 3.5T-GDI 2WD 4인 20인치(HDP),현대,승용차,일반형,8.8,,7.6,10.8,5등급
G90 e-S/C 3.5T-GDI 2WD 4인 21인치(HDP),현대,승용차,일반형,8.5,,7.3,10.4,5등급
G90 e-S/C 3.5T-GDI AWD 4인 21인치(HDP),현대,승용차,일반형,8.2,,7.1,10,5등급
G90 3.5T-GDI 2WD 5인 19인치(HDP),현대,승용차,일반형,9.2,,7.9,11.3,5등급
G90 3.5T-GDI 2WD 4인 20인치(HDP),현대,승용차,일반형,8.8,,7.7,10.6,5등급
G90 3.5T-GDI AWD 4인 20인치(HDP),현대,승용차,일반형,8,,7,9.7,5등급
Mercedes-Maybach S680 4MATIC,벤츠,승용차,일반형,5.8,,4.7,7.9,5등급
Mercedes-Benz GLE450 4MATIC(5Seats),벤츠,승용차,다목적형,8.6,,8,9.5,5등급
Mercedes-AMG GLE63 S 4MATIC + Coupe,벤츠,승용차,다목적형,6.8,,6.1,8,5등급
Q8 55 e-tron quattro,아우디,승용차,다목적형,3,368,3,3.1,5등급
카이엔 터보,포르쉐,승용차,다목적형,6.5,,5.7,7.7,5등급
카이엔 터보 COUPE,포르쉐,승용차,다목적형,6.5,,5.7,7.7,5등급
Mercedes-Maybach GLS600 4MATIC,벤츠,승용차,다목적형,6.1,,5.3,7.4,5등급
더 뉴 레인지로버 스포츠 P360,랜드로버,승용차,다목적형,8,,6.9,10.1,5등급
Q8 50 e-tron quattro,아우디,승용차,다목적형,3,298,3,3,5등급
Mercedes-AMG GLE53 4MATIC +(5seats),벤츠,승용차,다목적형,7.9,,7.3,8.8,5등급
T4K,BYD,화물차,일반형,2.6,241,3,2.3,5등급
Mercedes-AMG GLA45 4MATIC +,벤츠,승용차,다목적형,8.4,,7.6,9.7,5등급
Mercedes-AMG GLE53 4MATIC +,벤츠,승용차,다목적형,7.9,,7.3,8.8,5등급
짚 글래디에이터,크라이슬러,화물차,화물,6.2,,5.7,7,5등급
Mercedes-Benz GLE450 4MATIC,벤츠,승용차,다목적형,8.6,,8,9.5,5등급
Mercedes-AMG GLE53 4MATIC + Coupe,벤츠,승용차,다목적형,8.1,,7.5,9.2,5등급
짚 랭글러 루비콘,크라이슬러,승용차,다목적형,7.4,,7,8.1,5등급
Mercedes-AMG EQE53 4MATIC +,벤츠,승용차,일반형,3.3,354,3.3,3.3,5등급
Mercedes-AMG EQS53 4MATIC +,벤츠,승용차,일반형,3.1,397,3.1,3.2,5등급
GMC Sierra ,한국지엠,화물차,일반형,6.9,,6,8.4,5등급
Mercedes-AMG EQS53 4MATIC +,벤츠,승용차,일반형,3.2,404,3.2,3.2,5등급
그랜저(GN7) 3.5 LPI 20인치,현대,승용차,일반형,7.3,,6.2,9.1,5등급
그랜저(GN7) 3.5 LPI 19인치,현대,승용차,일반형,7.4,,6.3,9.2,5등급
그랜저(GN7) 3.5 LPI 18인치,현대,승용차,일반형,7.8,,6.7,9.6,5등급
Mercedes-Maybach S580 4MATIC(5Seats),벤츠,승용차,일반형,8.1,,6.9,10.3,5등급
Bentayga S,벤틀리,승용차,다목적형,7.1,,6.3,8.4,5등급
Bentayga S,벤틀리,승용차,다목적형,7.1,,6.3,8.4,5등급
Bentayga V8,벤틀리,승용차,다목적형,7.1,,6.3,8.4,5등급
Rolls Royce Phantom EWB,롤스로이스,승용차,일반형,5.8,,4.8,7.8,5등급
Rolls Royce Phantom EWB,롤스로이스,승용차,일반형,5.8,,4.8,7.8,5등급
Rolls Royce Phantom,롤스로이스,승용차,일반형,5.8,,4.8,7.8,5등급
Rolls Royce Phantom,롤스로이스,승용차,일반형,5.8,,4.8,7.8,5등급
Mercedes-Maybach S580 4MATIC,벤츠,승용차,일반형,8.1,,6.9,10.3,5등급
Mercedes-Benz S580 4MATIC,벤츠,승용차,일반형,7.8,,6.6,10,5등급
그랜저(GN7) 3.5 GDI AWD 20인치,현대,승용차,일반형,9,,7.7,11.2,5등급
그랜저(GN7) 3.5 GDI AWD 19인치,현대,승용차,일반형,9.2,,7.9,11.5,5등급
Mercedes-AMG CLS53 4MATIC +,벤츠,승용차,일반형,9.1,,8.2,10.4,5등급
Mercedes-AMG CLA45 S 4MATIC +,벤츠,승용차,일반형,9.1,,8.1,11,5등급
Mercedes-AMG A45 4MATIC +,벤츠,승용차,일반형,8.8,,7.8,10.6,5등급
Mercedes-AMG GT43 4MATIC +,벤츠,승용차,일반형,8.2,,7.5,9.1,5등급
Mercedes-AMG GT63 S 4MATIC +,벤츠,승용차,일반형,6.7,,5.9,8.2,5등급
Mercedes-AMG GLC63 S 4MATIC + Coupe,벤츠,승용차,다목적형,6.9,,6,8.4,5등급
카이엔 터보 COUPE (5인승),포르쉐,승용차,다목적형,6.5,,5.7,7.7,5등급
Mercedes-AMG E53 4MATIC + Coupe,벤츠,승용차,일반형,9.2,,8.3,10.7,5등급
Mercedes-AMG E53 4MATIC +,벤츠,승용차,일반형,9.1,,8.2,10.7,5등급
Bentayga V8,벤틀리,승용차,다목적형,7.1,,6.3,8.4,5등급
RS Q8,아우디,승용차,다목적형,6.6,,5.9,7.9,5등급
Mercedes-Benz S500 4MATIC,벤츠,승용차,일반형,9.1,,8,10.9,5등급
페라리 푸로산게,페라리,승용차,일반형,5.1,,4.5,6.1,5등급
마세라티 MC20 Cielo,마세라티,승용차,일반형,7.1,,6,9.1,5등급
마세라티 그레칼레 트로페오,마세라티,승용차,다목적형,8,,7,9.6,5등급
BMW X7 M60i xDrive,BMW,승용차,다목적형,6.9,,6.2,7.9,5등급
BMW X7 xDrive40i,BMW,승용차,다목적형,7.8,,7.3,8.6,5등급
BMW X7 M60i xDrive,BMW,승용차,다목적형,6.9,,6.2,7.9,5등급
BMW X7 xDrive40i,BMW,승용차,다목적형,7.8,,7.3,8.6,5등급
911 타르가 4 GTS,포르쉐,승용차,일반형,7.7,,6.8,9.2,5등급
911 터보 S 카브리올레,포르쉐,승용차,일반형,6.7,,5.9,8,5등급
Huracan Tecnica,람보르기니,승용차,일반형,6.2,,5.4,7.4,5등급
RS 3,아우디,승용차,일반형,9.2,,8,11.2,5등급
URUS Performante,람보르기니,승용차,다목적형,6.5,,5.6,7.9,5등급
페라리 812 Competizione A,페라리,승용차,일반형,5.7,,5.1,6.6,5등급
URUS S,람보르기니,승용차,다목적형,6.4,,5.7,7.6,5등급
더 뉴 레인지로버 P530 LWB (4인승),랜드로버,승용차,다목적형,6.8,,5.6,9,5등급
"QM6 2.0 LPLi (18"" Tire)",르노코리아자동차(주),승용차,기타형,8.9,,8.1,10.2,5등급
URUS S,람보르기니,승용차,다목적형,6.4,,5.7,7.6,5등급
URUS Performante,람보르기니,승용차,다목적형,6.5,,5.6,7.9,5등급
다니고C,(주)루트17,화물차,일반형,3.1,199,3.8,2.5,5등급
Lincoln Navigator 3.5L (8인승),포드,승용차,다목적형,7.2,,6.4,8.4,5등급
Expedition 3.5L (8인승),포드,승용차,다목적형,7.2,,6.4,8.5,5등급
CHEVROLET TRAVERSE AWD,GM,승용차,다목적형,8.3,,7.1,10.3,5등급
SQ7 TFSI,아우디,승용차,다목적형,6.7,,5.9,8,5등급
RS 5 Sportback,아우디,승용차,일반형,8.3,,7.3,10,5등급
A8 L 60 TFSI quattro,아우디,승용차,일반형,7.4,,6.1,9.9,5등급
Expedition 3.5L,포드,승용차,다목적형,7.2,,6.4,8.5,5등급
Lincoln Navigator 3.5L,포드,승용차,다목적형,7.2,,6.4,8.4,5등급
스포티지 2.0 LPI 19인치,기아,승용차,다목적형,9,,8.1,10.2,5등급
스포티지 2.0 LPI 19인치(빌트인캠),기아,승용차,다목적형,8.8,,8,9.9,5등급
스포티지 2.0 LPI 18인치,기아,승용차,다목적형,9.1,,8.2,10.3,5등급
스포티지 2.0 LPI 18인치(빌트인캠),기아,승용차,다목적형,8.9,,8.1,10,5등급
스포티지 2.0 LPI 17인치,기아,승용차,다목적형,9.2,,8.2,10.6,5등급
Mercedes-AMG G63,벤츠,승용차,다목적형,5.8,,5.4,6.5,5등급
G70 슈팅브레이크 2.0T-GDI AWD 19인치(썸머)_SP,현대,승용차,기타형,9.1,,8.3,10.5,5등급
Mustang GT 5.0 Coupe,포드,승용차,일반형,7.5,,6.2,10.1,5등급
Mustang GT 5.0 Convertible,포드,승용차,일반형,7.5,,6.2,10.1,5등급
G70 슈팅브레이크 2.0T-GDI AWD 19인치(썸머),현대,승용차,기타형,9.1,,8.3,10.5,5등급
봉고 1톤 일반덤프 4X4장축 킹캡(MT)(22),기아,화물차,덤프형,8.7,,8.2,9.5,5등급
Mercedes-Benz GLS580 4MATIC,벤츠,승용차,다목적형,6,,5.7,6.4,5등급
짚 레니게이드 1.3 AWD,크라이슬러,승용차,다목적형,9.3,,8.4,10.8,5등급
Mercedes-Maybach GLS600 4MATIC (5 seater),벤츠,승용차,다목적형,6.2,,5.5,7.2,5등급
S8 L TFSI,아우디,승용차,일반형,7.6,,6.4,9.8,5등급
A8 L 60 TFSI quattro,아우디,승용차,일반형,7.4,,6.1,9.9,5등급
"Mercedes-AMG GLE63 S 4MATIC+ Coupe						",벤츠,승용차,다목적형,6.5,,5.8,7.5,5등급
Mercedes-Maybach GLS600 4MATIC,벤츠,승용차,다목적형,6.2,,5.5,7.2,5등급
팰리세이드(PE) 3.8GDI AWD 7인 20인치,현대,승용차,다목적형,8.5,,7.6,10,5등급
팰리세이드(PE) 3.8GDI AWD 7인 18인치,현대,승용차,다목적형,8.7,,7.7,10.3,5등급
팰리세이드(PE) 3.8GDI 2WD 7인 20인치,현대,승용차,다목적형,9,,8,10.7,5등급
팰리세이드(PE) 3.8GDI 2WD 7인 18인치,현대,승용차,다목적형,9.3,,8.3,10.9,5등급
팰리세이드(PE) 3.8GDI AWD 8인 20인치,현대,승용차,다목적형,8.5,,7.6,10,5등급
팰리세이드(PE) 3.8GDI AWD 8인 18인치,현대,승용차,다목적형,8.7,,7.7,10.3,5등급
팰리세이드(PE) 3.8GDI 2WD 8인 20인치,현대,승용차,다목적형,9,,8,10.7,5등급
팰리세이드(PE) 3.8GDI 2WD 8인 18인치,현대,승용차,다목적형,9.3,,8.3,10.9,5등급
더 뉴 레인지로버 P530 SWB (5인승),랜드로버,승용차,다목적형,6.8,,5.6,9,5등급
더 뉴 레인지로버 P530 LWB (5인승),랜드로버,승용차,다목적형,6.8,,5.6,9,5등급
더 뉴 레인지로버 P530 LWB (7인승),랜드로버,승용차,다목적형,6.8,,5.6,9,5등급
Q8 55 TFSI quattro,아우디,승용차,다목적형,8.2,,7.4,9.4,5등급
Q7 55 TFSI quattro,아우디,승용차,다목적형,8.1,,7.2,9.5,5등급
짚 그랜드 체로키,크라이슬러,승용차,다목적형,7.4,,6.6,8.8,5등급
Mustang GT 5.0 Convertible,포드,승용차,일반형,7.5,,6.2,10.1,5등급
젤라,장조우 닛산,화물차,일반형,2.6,194,2.9,2.3,5등급
BMW M850i xDrive Gran Coupe,BMW,승용차,일반형,7.7,,6.6,9.6,5등급
더 뉴 레인지로버 P530 LWB (7인승),랜드로버,승용차,다목적형,6.8,,5.6,9,5등급
타이칸 GTS (5인승),포르쉐,승용차,일반형,3.2,317,3.2,3.1,5등급
Explorer 2.3L,포드,승용차,다목적형,8.9,,8.1,10.2,5등급
타이칸 GTS,포르쉐,승용차,일반형,3.2,317,3.2,3.1,5등급
BMW M850i xDrive Coupe,BMW,승용차,일반형,7.6,,6.6,9.2,5등급
봉고 1톤 3방덤프 4X4장축 킹캡(MT)(22),기아,화물차,덤프형,8.7,,8.2,9.5,5등급
포터2.5디젤 덤프4X4장축 슈퍼캡(MT)(22),현대,화물차,덤프형,8.8,,8.5,9.2,5등급
G90 e-S/C 3.5T-GDI(LONG WHEEL BASE) AWD 5인 20인치,현대,승용차,일반형,8.2,,7.1,10,5등급
캐딜락 Escalade(8인승),GM,승용차,다목적형,7,,6.1,8.4,5등급
캐딜락 Escalade ESV(8인승),GM,승용차,다목적형,6.5,,5.7,7.9,5등급
