모델명,제조(수입사),차종,유형,복합_연비,1회충전주행거리,도심_연비,고속도로_연비,등급
"레이 1.0가솔린 (PE, 15인치 타이어)",기아,승용차,일반형,12.7,,11.9,13.8,경형
"레이 1.0가솔린 (PE, 14인치 타이어)",기아,승용차,일반형,13,,12.2,13.9,경형
레이 1.0LPI (PE),기아,승용차,일반형,10.5,,9.9,11.1,경형
라보5MT,한국지엠,화물차,일반형,8.6,,8.7,8.6,경형
라보롱카고,한국지엠,화물차,일반형,8.6,,8.7,8.6,경형
다마스밴,한국지엠,화물차,밴형,8.8,,8.6,9.1,경형
다마스 5인승,한국지엠,승합차,일반형,8.8,,8.6,9.1,경형
모닝(JA) 1.0LPI_16인치 (15),기아,승용차,일반형,12,,11.5,12.6,경형
모닝(JA) 1.0LPI_14인치 (15),기아,승용차,일반형,12.6,,11.7,13.7,경형
모닝(JA) 1.0LPI_16인치 (15),기아,승용차,일반형,11,,10.2,12.1,경형
모닝(JA) 1.0LPI_14인치 (15),기아,승용차,일반형,11.8,,11,12.8,경형
모닝(JA) 1.0가솔린_밴형 (16인치 타이어) (15),기아,승용차,일반형,14.7,,13.6,16.2,경형
모닝(JA) 1.0가솔린_밴형 (15),기아,승용차,일반형,16,,14.9,17.5,경형
모닝(JA) 1.0가솔린_밴형 (15),기아,승용차,일반형,15.4,,14.2,17,경형
모닝(JA) 1.0가솔린_밴형 (16인치 타이어) (15),기아,승용차,일반형,15.3,,14.2,16.8,경형
모닝(JA) 1.0가솔린 (16인치 타이어) (15),기아,승용차,일반형,15.3,,14.2,16.8,경형
모닝(JA) 1.0가솔린 (16인치 타이어) (15),기아,승용차,일반형,14.7,,13.6,16.2,경형
모닝(JA) 1.0가솔린 (15),기아,승용차,일반형,16,,14.9,17.5,경형
모닝(JA) 1.0가솔린 (15),기아,승용차,일반형,15.4,,14.2,17,경형
Mercedes-AMG E 53 Hybrid 4MATIC+,벤츠,승용차,일반형,2.4 / 8.6,66,2.2 / 7.8,2.7 / 9.9,PHEV
Revuelto,람보르기니,승용차,일반형,2.2 / 4.8,7,2.2 / 3.8,2.3 / 6.9,PHEV
Continental GTC,벤틀리,승용차,일반형,2.5 / 8.4,63,2.4 / 7.7,2.8 / 9.5,PHEV
Flying Spur,벤틀리,승용차,일반형,2.5 / 8.4,63,2.4 / 7.7,2.8 / 9.5,PHEV
Continental GT,벤틀리,승용차,일반형,2.6 / 8.2,66,2.4 / 7.5,3 / 9.4,PHEV
BMW M5 Touring,BMW,승용차,일반형,2.5 / 8.5,55,2.4 / 8,2.7 / 9.2,PHEV
Mercedes-AMG S 63 E PERFORMANCE,벤츠,승용차,일반형,2.2 / 7.4,24,2.1 / 6.6,2.3 / 8.9,PHEV
Continental GTC,벤틀리,승용차,일반형,2.6 / 8.7,63,2.4 / 7.9,2.8 / 9.7,PHEV
Flying Spur,벤틀리,승용차,일반형,2.6 / 8.7,63,2.4 / 7.9,2.8 / 9.7,PHEV
Flying Spur,벤틀리,승용차,일반형,2.5 / 8.4,63,2.4 / 7.7,2.8 / 9.5,PHEV
Flying Spur,벤틀리,승용차,일반형,2.6 / 8.7,63,2.4 / 7.9,2.8 / 9.7,PHEV
볼보 S90T8 AWD,볼보,승용차,일반형,3.6 / 13,65,3.7 / 12.7,3.5 / 13.4,PHEV
볼보 XC60T8 AWD,볼보,승용차,다목적형,3.5 / 11.7,61,3.7 / 11.3,3.4 / 12.2,PHEV
BMW XM,BMW,승용차,다목적형,2 / 7.1,60,2 / 6.8,2 / 7.5,PHEV
볼보 XC90T8 AWD,볼보,승용차,다목적형,3.2 / 11,56,3.3 / 10.8,3 / 11.3,PHEV
Continental GT,벤틀리,승용차,일반형,2.6 / 8.8,64,2.4 / 7.8,2.9 / 10.3,PHEV
BMW 750e xDrive,BMW,승용차,일반형,3 / 10.4,60,2.8 / 10,3.2 / 11,PHEV
BMW XM Label,BMW,승용차,다목적형,2 / 7.1,60,2 / 6.8,2 / 7.5,PHEV
BMW M5,BMW,승용차,일반형,2.7 / 8.6,59,2.6 / 8,2.8 / 9.5,PHEV
Mercedes-AMG GT 63 S E PERFORMANCE Coupe,벤츠,승용차,일반형,2 / 7.3,8,2 / 6.8,2 / 8.1,PHEV
BMW 530e,BMW,승용차,일반형,3.2 / 11.3,70,3.1 / 10.9,3.3 / 11.8,PHEV
Mercedes-AMG E 53 Hybrid 4MATIC +,벤츠,승용차,일반형,2.4 / 8.6,66,2.2 / 7.8,2.7 / 9.9,PHEV
BMW 550e xDrive,BMW,승용차,일반형,2.9 / 10.1,62,2.8 / 9.5,3.1 / 10.9,PHEV
레인지로버 벨라 P400e,랜드로버,승용차,다목적형,2.5 / 9.1,45,2.4 / 8.6,2.6 / 9.8,PHEV
파나메라 터보 S E-하이브리드,포르쉐,승용차,일반형,2.4 / 7.8,60,2.3 / 7.1,2.5 / 8.8,PHEV
파나메라 터보 S E-하이브리드 (5인승),포르쉐,승용차,일반형,2.4 / 7.8,60,2.3 / 7.1,2.5 / 8.8,PHEV
Mercedes-AMG S 63 E PERFORMANCE,벤츠,승용차,일반형,2.6 / 7.8,28,2.4 / 6.8,2.7 / 9.3,PHEV
BMW 530e,BMW,승용차,일반형,3.2 / 11.3,72,3.1 / 11,3.3 / 11.7,PHEV
카이엔 터보 E-하이브리드,포르쉐,승용차,다목적형,2.2 / 7.9,56,2.2 / 7.4,2.3 / 8.6,PHEV
카이엔 터보 E-하이브리드 Coupe,포르쉐,승용차,다목적형,2.2 / 7.9,56,2.2 / 7.4,2.3 / 8.6,PHEV
파나메라 터보 E-하이브리드,포르쉐,승용차,일반형,2.3 / 7.7,57,2.2 / 6.9,2.5 / 8.9,PHEV
BMW 530e xDrive,BMW,승용차,일반형,2.9 / 10.7,66,2.8 / 10.3,3.1 / 11.2,PHEV
카이엔 터보 E-하이브리드 Coupe (5인승),포르쉐,승용차,다목적형,2.2 / 7.9,56,2.2 / 7.4,2.3 / 8.6,PHEV
Mercedes-Benz E 350 e 4MATIC,벤츠,승용차,일반형,3.1 / 11.1,77,2.9 / 10,3.4 / 12.7,PHEV
파나메라 터보 E-하이브리드 (5인승),포르쉐,승용차,일반형,2.3 / 7.7,57,2.2 / 6.9,2.5 / 8.9,PHEV
BMW M5,BMW,승용차,일반형,2.4 / 8.6,61,2.5 / 8,2.3 / 9.5,PHEV
볼보 XC90T8 AWD,볼보,승용차,다목적형,3.2 / 11,56,3.3 / 10.8,3 / 11.3,PHEV
